supplier_id,supplier_name,contact_name,phone,address,city,country,customer_id
1,"Morgan, Sullivan and Jones",Amanda Nelson,001-594-984-1423x55283,"567 Donna Causeway Apt. 656
Danafort, CT 11352",Zacharyberg,Turks and Caicos Islands,4266
2,"Daniel, Brown and Warren",Julie Johnson DVM,+1-841-607-9116x114,"98309 Cox Hollow
Lake Katrina, VI 64657",Lake Lisa,Paraguay,3109
3,"Stark, Hodge and Cannon",Cathy Crawford,001-774-587-7007x8812,"18082 Richard Ports
New Robertfurt, MT 95923",East Amberstad,United States Minor Outlying Islands,2765
4,"Bridges, Dunn and Lewis",Yolanda Stevens,(246)582-1003x70907,"866 Frank Parks
New Tamarahaven, IA 36278",Brittneychester,Liechtenstein,217
5,"Torres, Alexander and Ortiz",Lisa Bailey,344.456.5726x7654,"477 Smith Valley Apt. 345
Port Edward, HI 57840",South Cheryl,Czech Republic,1252
6,Robinson Ltd,Tristan Scott,(657)233-0907,"1685 Deborah Groves
Rossfort, MN 16514",West Jean,Cook Islands,3256
7,Wolf-Andrews,Mrs. Rebecca Pittman,566.593.3276,"Unit 2285 Box 6283
DPO AA 18826",South Emily,Colombia,3485
8,Potter-Clark,Robert Love,001-500-589-4234x03704,"188 Amanda Lakes
Waltersland, DC 47693",Macdonaldtown,Ethiopia,3455
9,Robinson-Garcia,Michelle Sims,001-417-369-6806x45544,"9264 Marcus Station
Lake Madison, ID 85395",Boydstad,Nicaragua,4178
10,Baker and Sons,Kristi Reid,001-503-597-9978,"32198 Todd Views Suite 551
East Martinfurt, NE 57438",Littleton,Iraq,2994
11,"Ellis, Mooney and Snyder",Seth Poole,001-386-232-8959,"42762 Dakota Knoll Suite 374
New Erica, MT 30366",Christinaport,Albania,3454
12,Hawkins LLC,Patrick Perry,(453)917-0873x00210,"USCGC Powers
FPO AE 90009",West Jill,Palestinian Territory,3040
13,Harris-Bush,Travis Harris,274.693.9166x01910,"0732 Collins Throughway Suite 893
Palmerstad, SC 37121",South Victoriaton,Solomon Islands,4667
14,"Lambert, Greene and Simpson",Eileen Pace,001-658-610-4573x466,"PSC 3387, Box 8052
APO AP 75552",Lake Martinchester,Guatemala,1685
15,Tran Group,Stephanie Singh,219.888.8374x345,"062 Brown Garden
New Michelleshire, MP 88721",Ramirezburgh,Estonia,512
16,Evans and Sons,Joseph Larson,(912)315-6038,"54694 Simmons Hills
East Thomasview, NV 36703",Jordanshire,British Virgin Islands,2233
17,"Harmon, Miller and Miller",Robert Williams,001-339-765-5868x19004,"35286 Smith Via
New Lee, WA 00543",East Brendafort,Congo,4271
18,"Smith, Frey and Wilkerson",Scott Cochran,318.515.8061x949,"PSC 5055, Box 1919
APO AE 76049",Patelland,Macao,529
19,Norton-Vasquez,Mr. Martin Bishop,(893)328-5071,"21349 Martin Dale
New Monicaview, AZ 87758",Port Jasonland,Vietnam,1503
20,Crawford-Boyd,Christopher Cole,-2028,"PSC 6951, Box 6571
APO AE 14940",New Ryanland,Mauritius,73
21,Nolan Ltd,Sharon Page,001-439-293-3025x59879,"14596 Megan Prairie
Schultzshire, WV 53527",West Michaelstad,Central African Republic,1379
22,Brown Inc,Rebecca Smith,264-318-0446,"40834 Elliott Greens Suite 950
Smithmouth, MP 66233",South Mariamouth,Estonia,2587
23,Ross-Wheeler,Luke Payne,(290)674-2941x429,"762 Charles Spring Suite 766
New Lindsayborough, AZ 13048",Hurleyport,Lithuania,3750
24,Warren Ltd,John Carter,001-368-359-0262x976,"86603 Carlson Crossroad Suite 689
Webbton, DE 52383",Nicholasfort,Samoa,4035
